lap,total_laps,driver,gap_ahead_sec,gap_behind_sec,tire_compound,tire_age_laps,fl_wear,fr_wear,rl_wear,rr_wear,fl_temp,fr_temp,rl_temp,rr_temp,brake_temp_c,energy_pct,engine_temp_c,fuel_kg,lap_time_sec,track_status
30,58,CAR_16,2.4,4.1,medium,15,50,53,44,46,98,101,92,94,620,68,115,48,91.5,green
31,58,CAR_16,2.3,4.3,medium,16,54,57,47,49,100,103,93,95,632,64,115,47,91.7,green
32,58,CAR_16,2.1,4.6,medium,17,58,61,50,52,102,105,95,97,645,71,116,46,92.0,green
33,58,CAR_16,1.9,4.9,medium,18,62,65,53,55,104,107,97,99,658,59,116,45,92.5,green
34,58,CAR_16,1.8,3.4,medium,19,65,68,55,57,108,111,101,103,670,73,118,42,93.6,green
35,58,CAR_16,1.6,3.1,medium,20,69,72,57,59,110,113,103,105,681,62,118,41,94.1,green
36,58,CAR_16,1.4,2.8,medium,21,73,76,59,61,113,116,105,107,690,55,119,40,94.9,green
37,58,CAR_16,1.2,2.5,medium,22,77,80,61,63,116,119,107,109,698,66,120,39,95.8,green
38,58,CAR_16,1.0,2.2,medium,23,81,84,63,65,119,122,109,111,705,73,121,38,96.9,green
39,58,CAR_16,0.8,1.9,medium,24,84,87,65,67,122,125,111,113,712,73,122,37,98.2,green
