lap,total_laps,driver,gap_ahead_sec,gap_behind_sec,tire_compound,tire_age_laps,fl_wear,fr_wear,rl_wear,rr_wear,fl_temp,fr_temp,rl_temp,rr_temp,brake_temp_c,energy_pct,engine_temp_c,fuel_kg,lap_time_sec,track_status
20,58,CAR_16,3.1,2.5,medium,8,28,30,24,25,95,97,89,90,590,70,113,55,90.1,green
21,58,CAR_16,3.0,2.1,medium,9,30,32,26,27,96,98,90,91,598,66,113,54,90.2,green
22,58,CAR_16,3.0,1.8,medium,10,32,34,28,29,96,98,90,91,605,74,114,53,90.1,green
23,58,CAR_16,2.9,1.5,medium,11,34,36,29,30,97,99,91,92,612,61,114,52,90.3,green
24,58,CAR_16,2.9,1.2,medium,12,36,38,31,32,97,99,91,92,618,78,114,51,90.2,green
25,58,CAR_16,2.8,1.0,medium,13,38,40,32,34,98,100,92,93,625,58,115,50,90.4,green
26,58,CAR_16,2.8,0.8,medium,14,40,42,34,35,98,100,92,93,631,82,115,49,90.3,green
27,58,CAR_16,2.7,0.6,medium,15,42,44,35,37,99,101,93,94,638,60,115,48,90.5,green
28,58,CAR_16,2.7,0.5,medium,16,44,46,37,38,99,101,93,94,644,85,116,47,90.4,green
29,58,CAR_16,2.6,0.4,medium,17,46,48,38,40,100,102,94,95,650,63,116,46,90.6,green
